bowler,date,location,game_num,throwdata_avail,score,strike_cnt,spare_cnt,foul_cnt,f1_t1,f1_t2,f2_t1,f2_t2,f3_t1,f3_t2,f4_t1,f4_t2,f5_t1,f5_t2,f6_t1,f6_t2,f7_t1,f7_t2,f8_t1,f8_t2,f9_t1,f9_t2,f10_t1,f10_t2,f10_t3,team
richard,1-21-2026,luckystrikephila,1,TRUE,97,1,2,0,3,6,3,3,7,0,7,3,10,,8,0,6,1,0,8,0,1,7,3,3,A
rohan,1-21-2026,luckystrikephila,1,TRUE,99,1,1,0,6,4,10,,7,0,7,1,3,5,7,0,7,1,5,3,7,2,5,2,,A
michael,1-21-2026,luckystrikephila,1,TRUE,63,0,1,0,4,6,2,7,4,2,0,3,0,4,0,1,9,0,7,1,2,0,0,9,,A
nick,1-21-2026,luckystrikephila,1,TRUE,109,1,2,0,4,5,1,8,10,,6,2,5,5,7,1,1,8,0,8,7,0,7,3,6,A
richard,1-21-2026,luckystrikephila,2,TRUE,102,1,2,0,0,8,7,0,5,4,10,,9,0,6,3,7,0,0,0,8,2,8,2,6,A
rohan,1-21-2026,luckystrikephila,2,TRUE,93,0,2,0,0,6,3,5,9,0,7,3,6,2,0,9,4,6,3,4,7,1,3,6,,A
michael,1-21-2026,luckystrikephila,2,TRUE,72,0,1,0,6,0,0,8,8,0,3,7,7,0,0,4,0,0,1,7,7,0,6,1,,A
nick,1-21-2026,luckystrikephila,2,TRUE,106,2,2,0,10,,3,3,7,3,3,3,0,3,6,0,10,,5,5,9,0,8,0,,A
richard,1-21-2026,luckystrikephila,3,TRUE,81,1,0,0,0,1,9,0,3,6,9,0,4,1,0,7,0,8,10,,9,0,0,5,,A
rohan,1-21-2026,luckystrikephila,3,TRUE,108,1,3,0,3,6,7,3,0,10,7,0,7,1,4,3,3,5,10,,7,0,9,1,8,A
michael,1-21-2026,luckystrikephila,3,TRUE,71,0,1,0,0,10,8,1,3,0,5,3,3,3,3,4,0,8,6,0,0,1,5,0,,A
nick,1-21-2026,luckystrikephila,3,TRUE,106,2,1,0,9,0,7,1,7,0,0,3,9,1,6,0,10,,10,,6,0,1,8,,A
alex,1-21-2026,luckystrikephila,4,TRUE,84,1,1,0,0,8,10,,0,9,7,3,0,0,0,7,0,5,5,3,9,0,6,3,,B
cj,1-21-2026,luckystrikephila,4,TRUE,67,0,0,0,6,1,1,7,0,0,3,5,9,0,9,0,3,0,8,1,6,0,7,1,,B
claudia,1-21-2026,luckystrikephila,4,TRUE,99,0,3,0,8,0,3,0,8,1,9,0,9,0,9,1,9,0,6,4,1,3,6,4,8,B
nivant,1-21-2026,luckystrikephila,4,TRUE,102,1,1,0,6,0,8,0,8,0,3,6,5,4,5,4,7,0,8,0,7,3,10,8,0,B
sarthak,1-21-2026,luckystrikephila,4,TRUE,133,1,5,0,6,0,1,9,5,3,9,1,6,2,5,5,7,3,9,1,10,,7,0,,B
sean,1-21-2026,luckystrikephila,4,TRUE,73,0,2,0,6,4,0,3,9,1,0,0,3,6,3,6,7,1,8,0,7,1,7,1,,B
gautham,1-28-2026,luckystrikephila,1,TRUE,107,0,4,0,9,0,8,1,4,2,7,3,7,2,0,0,7,0,4,6,7,3,6,4,7,A
richard,1-28-2026,luckystrikephila,1,TRUE,78,0,2,0,7,0,8,1,0,4,6,4,9,0,9,0,8,0,7,3,0,0,3,0,,A
rohan,1-28-2026,luckystrikephila,1,TRUE,102,0,2,0,8,2,8,0,9,0,3,5,9,1,8,1,7,1,6,3,7,0,8,0,,A
michael,1-28-2026,luckystrikephila,1,TRUE,60,1,0,0,0,0,7,0,7,0,7,0,5,0,10,,0,0,9,0,7,0,8,0,,A
nick,1-28-2026,luckystrikephila,1,TRUE,126,0,5,0,8,1,6,4,8,1,0,10,9,1,3,4,6,2,1,9,5,5,9,0,,A
gautham,1-28-2026,luckystrikephila,2,TRUE,110,1,2,0,8,1,7,0,6,2,7,3,6,3,0,7,7,2,7,1,10,,9,1,7,A
richard,1-28-2026,luckystrikephila,2,TRUE,96,0,4,0,4,1,0,8,3,7,7,3,0,4,7,0,8,0,7,1,7,3,9,1,0,A
rohan,1-28-2026,luckystrikephila,2,TRUE,138,3,3,0,6,4,8,0,10,,8,0,10,,5,5,8,1,8,2,6,0,10,7,0,A
michael,1-28-2026,luckystrikephila,2,TRUE,86,2,0,0,7,2,8,0,1,0,10,,10,,7,0,0,3,0,1,0,6,7,0,,A
nick,1-28-2026,luckystrikephila,2,TRUE,115,2,1,0,8,0,1,0,8,2,10,,10,,7,2,5,2,6,1,9,0,8,0,,A
alex,1-28-2026,luckystrikephila,3,TRUE,53,0,0,0,7,2,7,0,8,0,0,0,0,6,0,1,7,2,0,8,5,0,0,0,,B
cj,1-28-2026,luckystrikephila,3,TRUE,81,0,1,0,1,5,6,1,8,1,6,0,0,6,9,0,1,3,9,1,7,2,7,1,,B
claudia,1-28-2026,luckystrikephila,3,TRUE,106,1,2,0,7,2,9,0,0,5,9,1,10,,3,6,1,5,8,1,7,3,4,2,,B
sarthak,1-28-2026,luckystrikephila,3,TRUE,117,1,4,0,7,2,3,7,0,5,5,2,6,0,7,3,10,,9,0,9,1,7,3,5,B
madeline,1-28-2026,luckystrikephila,3,TRUE,63,1,0,0,4,1,9,0,0,8,4,5,0,7,0,0,10,,0,0,5,1,0,9,,B
sean,1-28-2026,luckystrikephila,3,TRUE,69,0,1,0,9,0,1,5,0,7,3,4,3,4,7,2,9,1,0,1,7,0,0,6,,B
sam,1-28-2026,luckystrikephila,3,TRUE,101,0,2,0,3,7,9,0,7,0,8,2,8,0,7,0,5,4,5,3,8,0,1,7,,B
gautham,2-04-2026,luckystrikephila,1,TRUE,117,1,4,0,10,,8,1,6,4,6,0,6,4,7,0,8,2,1,6,0,8,8,2,7,A
richard,2-04-2026,luckystrikephila,1,TRUE,103,0,4,0,1,6,7,0,9,1,7,3,8,2,3,2,9,1,2,5,4,4,6,3,,A
rohan,2-04-2026,luckystrikephila,1,TRUE,121,0,5,0,3,5,6,1,9,1,7,1,6,0,9,1,6,2,7,3,5,5,9,1,7,A
nick,2-04-2026,luckystrikephila,1,TRUE,113,0,4,0,7,0,7,0,8,2,8,2,9,1,2,5,9,0,6,2,0,10,8,0,,A
