bowler,date,location,game_num,throwdata_avail,score,strike_cnt,spare_cnt,foul_cnt,f1_t1,f1_t2,f2_t1,f2_t2,f3_t1,f3_t2,f4_t1,f4_t2,f5_t1,f5_t2,f6_t1,f6_t2,f7_t1,f7_t2,f8_t1,f8_t2,f9_t1,f9_t2,f10_t1,f10_t2,f10_t3
chirag,6-22-2024,brooklyn-phl,1,TRUE,102,1,2,0,0,9,1,7,9,1,7,0,10,,1,8,0,0,9,0,0,6,5,5,8
jake,6-22-2024,brooklyn-phl,1,TRUE,85,1,1,0,6,0,7,0,0,3,0,0,8,0,0,8,8,2,10,,7,0,1,8,
alkiviades,6-22-2024,brooklyn-phl,1,TRUE,74,1,0,0,0,0,9,0,10,,3,4,7,0,8,0,5,0,7,0,7,0,7,0,
nick,6-22-2024,brooklyn-phl,1,TRUE,92,1,2,0,9,1,1,0,7,2,6,0,8,1,8,2,7,0,10,,7,0,6,2,
brian,6-22-2024,brooklyn-phl,1,FALSE,113,,,,,,,,,,,,,,,,,,,,,,,,
ethan,6-22-2024,brooklyn-phl,1,FALSE,97,,,,,,,,,,,,,,,,,,,,,,,,
aneesh,6-22-2024,brooklyn-phl,1,FALSE,106,,,,,,,,,,,,,,,,,,,,,,,,
daniel,6-22-2024,brooklyn-phl,1,FALSE,109,,,,,,,,,,,,,,,,,,,,,,,,
chirag,6-22-2024,brooklyn-phl,2,TRUE,82,1,2,0,1,0,3,7,4,2,9,0,0,3,6,2,5,0,7,0,4,5,7,3,10
jake,6-22-2024,brooklyn-phl,2,TRUE,41,0,0,0,0,0,3,5,0,0,0,3,0,9,0,0,3,2,0,8,4,1,3,0,
alkiviades,6-22-2024,brooklyn-phl,2,TRUE,49,0,0,0,8,0,0,8,0,0,0,0,4,0,3,0,9,0,8,1,0,0,0,9,
nick,6-22-2024,brooklyn-phl,2,TRUE,117,2,2,0,8,0,6,1,7,2,9,1,8,2,9,0,9,0,10,,6,3,10,0,0
brian,6-22-2024,brooklyn-phl,2,TRUE,89,0,3,0,8,1,0,0,8,2,7,3,8,0,0,7,6,0,3,4,9,0,8,0,
ethan,6-22-2024,brooklyn-phl,2,TRUE,104,2,1,0,0,4,0,5,0,10,10,,10,,7,0,7,2,0,0,7,1,7,0,
aneesh,6-22-2024,brooklyn-phl,2,TRUE,99,1,2,0,0,7,9,0,10,,0,3,7,1,8,0,8,0,9,0,7,3,9,1,5
daniel,6-22-2024,brooklyn-phl,2,TRUE,82,1,2,0,9,0,0,0,3,2,5,1,4,3,6,4,3,0,9,0,10,,6,4,0
