bowler,date,location,game_num,throwdata_avail,score,strike_cnt,spare_cnt,foul_cnt,f1_t1,f1_t2,f2_t1,f2_t2,f3_t1,f3_t2,f4_t1,f4_t2,f5_t1,f5_t2,f6_t1,f6_t2,f7_t1,f7_t2,f8_t1,f8_t2,f9_t1,f9_t2,f10_t1,f10_t2,f10_t3
nick,2-6-2024,union,1,TRUE,104,1,2,0,7,2,0,10,6,0,8,1,7,3,9,0,6,3,10,,7,0,0,3,
arpan,2-6-2024,union,1,TRUE,103,0,3,0,9,0,0,9,1,6,0,10,8,2,3,1,6,1,8,2,8,1,8,1,
sridhar,2-6-2024,union,1,TRUE,64,1,0,0,0,0,4,0,10,,6,0,6,3,0,0,0,5,1,8,8,0,7,0,
ben,2-6-2024,union,2,TRUE,110,0,3,0,7,3,7,0,0,4,9,0,1,9,9,0,0,9,6,3,8,1,9,1,8
sridhar,2-6-2024,union,2,TRUE,71,0,1,0,9,0,0,0,9,0,9,0,1,0,1,4,5,5,8,0,3,0,5,4,
nick,2-6-2024,union,2,TRUE,70,0,2,0,4,6,1,5,7,2,1,8,5,0,3,1,1,1,0,8,1,9,0,6,
ben,2-6-2024,union,3,TRUE,91,0,1,0,5,2,6,3,9,0,3,7,7,1,8,1,8,1,8,0,1,5,4,5,
sridhar,2-6-2024,union,3,TRUE,102,2,1,0,1,9,0,3,8,0,1,8,9,0,10,,9,0,7,2,3,6,10,7,0
nick,2-6-2024,union,3,TRUE,73,2,0,0,0,1,9,0,5,2,0,5,7,0,10,,0,1,10,,0,7,8,0,
nick,2-6-2024,union,4,TRUE,130,5,0,0,10,,10,,7,0,6,2,7,0,9,0,9,0,10,,8,0,10,10,0
sridhar,2-6-2024,union,4,TRUE,79,0,2,0,3,5,1,5,0,7,8,2,0,0,8,0,9,1,9,0,8,0,1,3,
ben,2-6-2024,union,4,TRUE,112,0,3,0,7,3,7,0,1,8,7,2,7,3,9,0,9,0,9,0,8,0,7,3,6
nathan,2-6-2024,union,4,TRUE,110,2,1,0,7,0,10,,5,2,0,8,8,0,0,9,9,1,8,0,10,,7,2,
nathan,2-2-2024,highland,1,TRUE,107,2,1,0,7,0,9,0,8,0,0,7,7,3,9,0,10,,8,0,0,7,10,4,1
sridhar,2-2-2024,highland,1,TRUE,87,1,0,0,8,1,7,0,6,0,0,8,7,0,10,,8,0,1,7,7,0,1,8,
nick,2-2-2024,highland,1,FALSE,97,,,,,,,,,,,,,,,,,,,,,,,,
arpan,2-2-2024,highland,1,FALSE,101,,,,,,,,,,,,,,,,,,,,,,,,
nathan,2-2-2024,highland,2,TRUE,113,3,0,0,4,5,7,0,7,1,9,0,10,,10,,1,5,9,0,5,4,10,8,1
nick,2-2-2024,highland,2,TRUE,93,1,1,0,4,0,8,0,6,2,1,6,0,3,8,0,7,2,10,,7,3,8,0,
arpan,2-2-2024,highland,2,TRUE,67,0,1,0,0,1,1,6,7,2,9,0,1,9,1,4,6,3,8,0,0,0,7,1,
sridhar,2-2-2024,highland,2,TRUE,102,2,1,0,10,0,4,0,8,1,9,0,7,0,10,,9,0,9,0,0,10,6,0,
nathan,1-24-2024,union,1,TRUE,112,2,2,0,7,0,0,8,10,,7,0,6,2,3,0,10,,7,3,6,4,8,0,
sridhar,1-24-2024,union,1,TRUE,81,0,2,0,0,0,9,0,9,0,5,3,0,10,0,5,0,8,3,4,8,2,6,3,
jeffrey,1-24-2024,union,1,TRUE,47,2,0,0,0,0,0,9,0,0,10,,0,0,0,0,0,0,0,0,10,,9,0,
nick,1-24-2024,union,1,TRUE,85,2,0,0,7,0,5,1,0,5,0,0,4,4,6,1,10,,9,0,10,,7,0,
arpan,1-24-2024,union,1,TRUE,125,3,3,0,5,5,1,7,10,,1,9,7,0,10,,0,8,9,1,0,8,10,7,1
jeriah,1-24-2024,union,1,TRUE,58,0,0,0,7,0,6,3,7,1,5,0,4,5,5,2,6,0,0,3,2,0,1,1,
jeffrey,1-24-2024,union,2,TRUE,40,0,1,3,1,F,0,F,0,0,F,10,0,1,0,0,8,1,3,0,7,0,9,0,
nathan,1-24-2024,union,2,TRUE,138,4,1,0,9,0,10,,10,,0,4,2,7,6,0,10,,10,,8,2,9,0,
sridhar,1-24-2024,union,2,TRUE,92,1,3,0,3,0,4,3,4,0,7,3,7,0,0,10,4,1,0,9,6,0,9,1,10
nick,1-24-2024,union,2,TRUE,95,2,0,0,7,0,9,0,9,0,0,6,10,,7,1,0,6,5,1,10,,8,0,
arpan,1-24-2024,union,2,TRUE,77,1,0,0,1,6,8,0,8,0,6,0,7,0,0,7,0,3,1,7,3,3,10,6,1
nick,11-9-2023,union,1,TRUE,93,1,3,0,8,1,8,0,10,,0,10,0,0,7,3,3,3,7,2,8,2,0,8,
nathan,11-9-2023,union,1,TRUE,68,0,1,1,7,0,7,2,3,5,8,0,F,3,1,9,0,4,1,4,3,5,6,0,
arpan,11-9-2023,union,1,TRUE,100,0,5,0,6,0,0,9,7,3,0,4,8,2,8,0,4,0,8,2,5,5,1,9,5
sridhar,11-9-2023,union,1,TRUE,73,0,0,0,3,5,7,0,1,3,0,9,9,0,0,8,0,3,7,0,6,3,0,9,
pranay,2-6-2024,union,2,TRUE,40,1,0,1,0,0,4,0,0,F,0,0,0,0,0,1,6,3,5,0,0,3,10,8,0
jeffrey,2-6-2024,union,2,FALSE,58,,,,,,,,,,,,,,,,,,,,,,,,
nathan,2-6-2024,union,2,FALSE,80,,,,,,,,,,,,,,,,,,,,,,,,
pranay,2-6-2024,union,3,TRUE,73,0,1,0,8,1,0,5,0,0,7,0,5,2,8,0,9,1,5,1,7,0,7,2,
nathan,2-6-2024,union,3,TRUE,99,3,0,0,10,,10,,0,1,4,0,8,1,9,0,3,5,9,0,10,,9,0,
pranay,2-22-2024,union,1,TRUE,70,0,2,0,8,0,9,1,9,1,1,6,0,5,0,3,7,0,0,0,9,0,1,0,
bobby,2-22-2024,union,1,TRUE,42,0,0,0,0,4,0,0,0,0,7,0,0,7,1,0,9,0,9,0,0,1,4,0,
nathan,2-22-2024,union,1,TRUE,122,0,5,0,1,9,4,6,8,0,8,1,0,6,9,1,8,1,7,1,9,1,3,7,9
arpan,2-22-2024,union,1,TRUE,121,1,4,0,7,3,1,7,10,,2,8,5,1,0,10,7,1,8,2,9,0,1,7,
nick,2-22-2024,union,1,TRUE,81,0,1,0,6,2,9,0,7,0,0,9,7,0,7,2,9,1,3,1,7,1,7,0,
pranay,2-22-2024,union,2,TRUE,45,1,0,0,0,0,10,,0,1,8,0,0,6,0,6,7,0,1,0,0,0,5,0,
bobby,2-22-2024,union,2,TRUE,36,0,0,0,0,1,4,0,6,0,3,0,1,0,0,8,0,1,1,0,6,0,5,0,
nathan,2-22-2024,union,2,TRUE,112,2,3,0,2,6,10,,0,2,6,2,7,0,3,2,10,,8,2,9,1,5,5,6
arpan,2-22-2024,union,2,TRUE,77,0,1,0,9,0,6,0,4,0,0,10,6,2,8,0,7,0,5,0,5,1,5,3,
nick,2-22-2024,union,2,TRUE,113,3,2,0,10,,3,3,10,,9,1,0,9,10,,7,0,8,0,6,0,8,2,4
arpan,2-22-2024,union,3,TRUE,62,0,0,0,0,3,8,0,9,0,0,0,8,0,0,8,7,1,7,0,3,4,3,1,
bobby,2-22-2024,union,3,TRUE,70,1,1,0,6,0,7,0,7,0,6,0,0,8,3,0,10,,1,5,1,9,0,1,
nathan,2-22-2024,union,3,FALSE,101,,,,,,,,,,,,,,,,,,,,,,,,
nick,2-22-2024,union,3,FALSE,98,,,,,,,,,,,,,,,,,,,,,,,,
arpan,2-22-2024,union,4,TRUE,86,1,2,0,6,4,1,8,0,0,0,8,8,1,10,,4,2,1,4,3,0,1,9,9
bobby,2-22-2024,union,4,TRUE,55,1,0,0,9,0,1,7,0,4,10,,0,0,0,6,1,7,0,9,0,0,0,1,
nathan,2-22-2024,union,4,TRUE,120,1,4,0,8,1,9,1,7,3,3,3,3,5,5,5,5,3,5,3,10,,7,3,6
nick,2-22-2024,union,4,TRUE,69,0,0,0,5,0,6,1,8,1,3,0,7,0,8,1,8,0,9,0,1,2,8,1,
nick,2-29-2024,union,1,TRUE,85,0,2,0,8,0,1,9,0,6,8,0,1,5,1,7,8,0,8,1,1,9,6,0,
nathan,2-29-2024,union,1,TRUE,155,3,3,0,1,5,6,0,10,,9,1,10,,10,,9,1,1,6,3,7,9,1,7
sridhar,2-29-2024,union,1,TRUE,77,1,0,0,5,3,9,0,9,0,1,3,10,,7,0,0,0,6,0,6,3,8,0,
bobby,2-29-2024,union,1,TRUE,76,0,2,0,7,3,7,3,7,0,5,0,1,5,7,0,0,8,9,0,0,0,0,0,
arpan,2-29-2024,union,1,TRUE,109,3,1,0,0,0,7,1,8,0,10,,10,,1,9,0,7,10,,9,0,7,0,
nick,2-29-2024,union,2,TRUE,84,1,0,0,3,0,5,3,0,9,7,2,7,0,7,0,6,0,10,,3,6,1,6,
nathan,2-29-2024,union,2,TRUE,149,2,5,0,1,7,10,,9,0,6,2,9,1,1,9,9,1,10,,9,1,9,1,6
sridhar,2-29-2024,union,2,TRUE,36,0,0,0,1,6,0,6,0,1,6,0,0,1,0,0,0,0,1,0,7,0,7,0,
bobby,2-29-2024,union,2,TRUE,50,0,2,0,3,3,0,0,7,0,0,2,7,0,6,4,0,5,3,0,0,0,9,1,0
arpan,2-29-2024,union,2,TRUE,76,2,0,0,0,0,3,4,5,0,3,6,7,2,0,1,9,0,8,0,4,4,10,10,0
sridhar,2-29-2024,union,3,TRUE,69,0,1,0,7,1,8,1,0,1,8,0,0,7,1,0,3,0,8,0,3,2,3,7,3
bobby,2-29-2024,union,3,TRUE,33,0,0,0,0,0,7,0,0,8,9,0,0,7,0,1,0,0,0,0,0,0,1,0,
arpan,2-29-2024,union,3,TRUE,114,0,4,0,7,0,3,7,9,1,9,1,8,2,8,0,5,3,8,0,3,1,4,1,
pranay,3-7-2024,union,1,TRUE,86,0,2,0,4,0,0,7,5,4,7,3,3,5,8,2,7,0,0,5,1,6,9,0,
nathan,3-7-2024,union,1,TRUE,100,1,1,0,7,2,9,1,9,0,5,3,7,2,4,0,5,3,10,,8,0,8,0,
arpan,3-7-2024,union,1,TRUE,95,2,1,0,3,0,0,0,8,1,0,1,7,3,8,0,10,,1,7,10,,7,3,0
pranay,3-7-2024,union,2,TRUE,81,1,2,0,10,,6,0,0,9,0,10,0,4,4,4,8,2,0,0,9,0,0,9,
nathan,3-7-2024,union,2,TRUE,135,2,5,0,6,0,8,2,9,1,9,1,0,10,10,,7,0,9,1,4,0,10,9,0
arpan,3-7-2024,union,2,TRUE,93,0,3,0,8,1,7,3,9,0,1,5,0,0,8,2,7,3,1,4,5,3,3,6,
nathan,3-7-2024,union,3,TRUE,153,2,5,0,10,,7,2,10,,9,0,9,1,9,0,7,3,9,1,8,2,5,5,7
arpan,3-7-2024,union,3,TRUE,99,2,0,0,6,0,0,9,10,1,7,1,1,8,9,0,6,2,0,7,3,3,10,9,0
nick,3-22-2024,union,1,TRUE,130,2,3,0,6,2,10,,9,1,6,0,10,,9,1,9,0,0,7,7,1,9,3,7
sridhar,3-22-2024,union,1,TRUE,85,1,1,0,8,0,9,0,0,8,0,10,0,0,0,8,0,7,7,2,10,,8,0,
jeffrey,3-22-2024,union,1,TRUE,80,0,2,0,9,0,5,0,0,9,4,0,0,6,0,1,0,10,0,10,9,0,8,0,
jx,3-22-2024,union,1,TRUE,52,0,0,0,7,0,0,1,0,4,0,4,7,2,7,0,5,1,0,1,3,1,9,0,
nick,3-22-2024,union,2,TRUE,71,1,0,0,10,,3,4,5,0,6,3,0,8,0,0,7,0,3,5,9,0,1,0,
sridhar,3-22-2024,union,2,TRUE,100,2,3,0,9,0,0,10,7,1,7,3,0,0,3,0,10,,9,0,5,0,9,1,10
nick,4-2-2024,union,1,TRUE,99,0,3,0,3,6,5,5,5,4,6,3,7,3,5,3,1,9,6,2,7,2,0,1,
nathan,4-2-2024,union,1,TRUE,118,2,2,0,1,8,7,1,8,2,9,1,3,0,8,1,0,1,10,,10,,8,1,
arpan,4-2-2024,union,1,TRUE,101,3,0,0,9,0,1,6,6,1,10,,1,7,9,0,8,0,5,3,7,0,10,10,0
nick,4-2-2024,union,2,TRUE,95,1,2,0,5,0,4,0,4,1,9,0,7,0,9,1,4,5,9,1,10,,5,4,
arpan,4-2-2024,union,2,TRUE,95,2,5,0,3,6,7,2,10,,7,0,0,8,4,2,1,1,6,4,9,0,9,0,
nathan,4-2-2024,union,2,TRUE,152,2,6,0,9,1,10,,7,3,10,,9,1,3,5,9,1,7,2,9,1,5,5,0
nick,4-3-2024,union,1,TRUE,123,2,2,0,3,6,7,0,10,,10,,8,2,0,5,0,9,0,7,0,9,8,2,9
arpan,4-3-2024,union,1,TRUE,124,2,2,0,0,10,7,3,9,0,9,0,0,7,0,7,10,,9,0,10,,6,3,
nick,4-5-2024,union,1,TRUE,79,1,0,0,4,0,6,2,5,0,7,0,8,0,10,,1,8,0,1,8,1,5,4,
nathan,4-5-2024,union,1,TRUE,122,2,2,0,3,1,7,1,7,1,5,3,9,1,10,,5,3,9,1,10,,6,3,
arpan,4-5-2024,union,1,TRUE,87,1,1,0,8,0,0,7,0,7,7,0,0,4,6,4,10,,3,1,9,0,3,4,
nick,4-5-2024,union,2,TRUE,79,0,3,0,7,0,0,10,0,2,7,2,6,2,7,3,7,3,1,4,9,0,1,0,
nathan,4-5-2024,union,2,TRUE,112,1,3,0,9,1,9,1,3,5,9,0,5,0,6,0,0,6,1,9,10,,8,0,
arpan,4-5-2024,union,2,TRUE,85,0,2,0,9,0,8,0,4,3,0,10,5,3,8,1,0,0,9,0,0,10,5,0,
nick,4-5-2024,union,3,TRUE,127,3,1,0,5,1,7,3,8,0,10,,10,,7,2,9,0,3,0,10,,9,0,
nathan,4-5-2024,union,3,TRUE,105,2,1,0,5,2,7,2,6,4,3,3,10,,5,4,0,8,0,9,6,0,10,1,8
arpan,4-5-2024,union,3,TRUE,86,2,0,0,4,3,7,0,3,1,10,,10,,0,8,0,1,7,2,8,1,0,3,
jeriah,4-11-2024,union,1,TRUE,81,0,0,0,0,5,0,8,7,1,8,0,6,2,9,0,8,1,6,2,6,3,5,4,
nick,4-11-2024,union,1,TRUE,88,2,0,0,7,2,9,0,3,1,5,0,10,,10,,3,0,7,0,1,8,6,0,
nathan,4-11-2024,union,1,TRUE,136,4,1,0,8,2,6,0,10,,8,1,10,,5,2,10,,10,,8,1,6,0,
sridhar,4-11-2024,union,1,TRUE,81,1,0,0,9,0,6,0,6,0,10,,9,0,3,0,8,0,6,2,0,5,7,1,
david,4-11-2024,union,1,TRUE,81,1,1,0,8,2,7,0,0,0,8,0,10,,6,1,9,0,7,0,0,0,9,0,
justin,4-11-2024,union,1,TRUE,95,1,2,0,9,0,0,5,8,2,8,0,3,0,10,,4,4,8,0,9,1,3,2,
arpan,4-11-2024,union,1,TRUE,83,0,2,0,4,0,8,2,5,3,7,1,6,0,1,7,8,0,0,1,2,8,6,3,
jeriah,4-11-2024,union,2,TRUE,78,1,1,0,9,1,8,0,7,1,0,0,10,,8,0,6,3,0,0,0,2,0,7,
nick,4-11-2024,union,2,TRUE,129,2,3,0,0,3,0,10,10,,0,10,10,,7,3,7,0,8,0,5,0,9,0,
nathan,4-11-2024,union,2,TRUE,122,2,3,0,10,,4,0,9,0,10,,8,2,8,0,7,2,7,3,6,0,6,4,8
sridhar,4-11-2024,union,2,TRUE,82,1,0,0,7,1,0,5,8,1,1,0,8,0,9,0,10,,8,1,1,4,8,1,
david,4-11-2024,union,2,TRUE,59,1,0,0,0,0,0,6,4,0,8,1,10,,7,2,9,0,0,3,0,0,0,0,
justin,4-11-2024,union,2,TRUE,78,0,3,0,3,7,5,1,7,1,8,0,8,2,0,0,0,0,7,0,0,6,9,1,8
arpan,4-11-2024,union,2,TRUE,86,1,3,0,0,0,10,,1,1,3,0,9,1,5,0,9,1,9,1,7,0,4,2,
nick,4-11-2024,union,3,TRUE,101,2,0,0,8,0,9,0,3,0,4,0,6,0,5,0,10,,10,,9,0,9,0,
nathan,4-11-2024,union,3,TRUE,98,1,1,0,8,0,4,2,9,0,5,5,9,0,9,0,3,3,10,,8,0,6,0,
nick,4-15-2024,union,1,TRUE,85,0,2,0,7,3,5,4,8,2,5,4,1,0,0,7,6,3,7,1,9,0,0,3,
nathan,4-15-2024,union,1,TRUE,124,2,3,0,7,3,7,0,9,0,10,,3,3,9,0,10,,6,3,9,1,7,3,5
pranay,4-15-2024,union,1,TRUE,86,1,1,0,3,7,6,2,4,0,8,0,8,0,10,,7,0,7,1,2,1,7,0,
arpan,4-15-2024,union,1,TRUE,105,1,2,0,4,5,10,,8,0,9,1,9,0,0,9,3,0,7,3,5,1,7,2,
nick,4-15-2024,union,2,TRUE,110,1,4,0,8,0,7,1,10,,8,2,8,2,6,4,3,3,9,1,3,0,1,4,
nathan,4-15-2024,union,2,TRUE,143,2,2,0,3,6,9,1,6,1,8,0,10,,10,,7,2,9,0,7,3,10,7,2
pranay,4-15-2024,union,2,TRUE,70,1,1,0,9,0,1,5,6,2,6,2,6,4,5,4,0,2,3,0,0,0,10,0,0
arpan,4-15-2024,union,2,TRUE,129,4,1,0,1,0,10,,8,1,10,,10,,9,1,3,3,5,0,5,3,10,0,9
nick,4-16-2024,union,1,TRUE,86,1,1,0,7,0,9,0,7,3,4,5,10,,7,0,0,1,9,0,6,0,7,0,
nathan,4-16-2024,union,1,TRUE,131,1,4,0,9,0,1,6,6,4,8,2,10,,7,3,9,1,5,2,3,4,8,1,
arpan,4-16-2024,union,1,TRUE,122,1,4,0,5,0,6,0,6,0,10,,7,3,4,6,9,0,7,3,9,0,7,3,5
nick,4-16-2024,union,2,TRUE,95,1,2,0,7,2,9,0,6,2,10,,8,2,1,3,0,6,6,0,8,2,5,2,
nathan,4-16-2024,union,2,TRUE,149,1,5,0,3,7,9,0,9,0,8,1,9,1,10,,6,4,7,2,9,1,8,2,9
arpan,4-16-2024,union,2,TRUE,71,0,1,0,3,2,6,0,9,1,1,7,1,7,7,0,4,0,9,0,3,3,7,0,
nick,4-16-2024,union,3,TRUE,86,1,0,0,3,6,9,0,0,7,7,0,3,4,8,0,1,6,6,3,0,7,10,0,6
nathan,4-16-2024,union,3,TRUE,110,0,3,0,7,2,7,1,0,7,7,2,7,0,7,1,8,2,8,0,9,0,5,5,9
arpan,4-16-2024,union,3,TRUE,87,1,1,0,0,4,10,,8,0,6,3,3,4,9,0,7,3,0,5,7,1,9,0,
